"","plant","pollinator"
"1","Coclearia afficinalis","Halictid"
"2","Coclearia afficinalis","Syrphid"
"3","Coclearia afficinalis","Muscid"
"4","Camassia leichtlinii","Bombus"
"5","Camassia leichtlinii","Syrphid"
"6","Camassia leichtlinii","Syrphid"
"7","Heuchera micrantha","Halictid"
"8","Erysimum asperum","Syrphid"
"9","Erysimum asperum","Syrphid"
"10","Helleborus orientalis","Muscid"
"11","Glaucium flavum","Bombus"
"12","Thymus leucospermus","Halictid"
"13","Thymus leucospermus","Halictid"
"14","Thymus leucospermus","Syrphid"
"15","Hydrophyllum virginiana","Syrphid"
"16","Hydrophyllum virginiana","Syrphid"
"17","Hydrophyllum virginiana","Syrphid"
"18","Hydrophyllum virginiana","Syrphid"
"19","Hydrophyllum virginiana","Muscid"
"20","Iris douglasiana","Muscid"
"21","Horminum pyrenaicum","Syrphid"
"22","Horminum pyrenaicum","Syrphid"
"23","Horminum pyrenaicum","Syrphid"
"24","Polygonum bisorta","Halictid"
"25","Tragopogon porrifolius","Hummingbird"
"26","Wyethia angustifolia","Bombus"
"27","Wyethia angustifolia","Bombus"
"28","Wyethia angustifolia","Syrphid"
"29","Wyethia angustifolia","Syrphid"
"30","Erysimum asperum","Syrphid"
"31","Borago officinalis","Osmia"
"32","Polygonum bisorta","Muscid"
"33","Thymus leucospermus","Osmia"
"34","Wyethia angustifolia","Bombus"
"35","Wyethia angustifolia","Bombus"
"36","Wyethia angustifolia","Osmia"
"37","Heuchera micrantha","Muscid"
"38","Polemonium reptans","Osmia"
"39","Polemonium reptans","Osmia"
"40","Smilacina stellata","Muscid"
"41","Ruta graveolens","Halictid"
"42","Ruta graveolens","Halictid"
"43","Catharanthus roseus","Syrphid"
"44","Eriogonum umbellatum","Syrphid"
"45","Eriogonum umbellatum","Syrphid"
"46","Gilia capitata","Osmia"
"47","Gilia capitata","Syrphid"
"48","Polemonium reptans","Osmia"
"49","Polemonium reptans","Muscid"
"50","Polemonium reptans","Muscid"
"51","Erysimum asperum","Halictid"
"52","Erysimum asperum","Syrphid"
"53","Erysimum asperum","Ant"
"54","Erysimum asperum","Ant"
"55","Rhodiola rosea","Muscid"
"56","Polygonum bisorta","Halictid"
"57","Polygonum bisorta","Halictid"
"58","Wyethia angustifolia","Bombus"
"59","Wyethia angustifolia","Bombus"
"60","Sedua spathulifolium","Osmia"
"61","Sedua spathulifolium","Syrphid"
"62","Heuchera sanguinea","Osmia"
